trd_date,total_volume,total_call_volume,total_put_volume,itm_call_volume,atm_call_volume,otm_call_volume,itm_put_volume,atm_put_volume,otm_put_volume,itm_call_ratio,atm_call_ratio,otm_call_ratio,itm_put_ratio,atm_put_ratio,otm_put_ratio,call_share,put_share,call_put_ratio
2010-01-18,62068.0,48319.0,13749.0,11511.0,134.0,36674.0,2665.0,49.0,11035.0,0.18545788490043177,0.0021589224721273443,0.590868080170136,0.04293677901656248,0.0007894567248823871,0.17778887671586002,0.7784848875426951,0.2215151124573049,3.514364681067714
2010-01-19,69036.0,55812.0,13224.0,9720.0,0.0,46092.0,4584.0,0.0,8640.0,0.1407961063792804,0.0,0.6676516600034764,0.06640013905788285,0.0,0.12515209455936033,0.8084477663827568,0.1915522336172432,4.220508166969147
2010-01-20,69949.0,53992.0,15957.0,10297.0,0.0,43695.0,5107.0,0.0,10850.0,0.14720725099715506,0.0,0.6246694019928806,0.07301033610201718,0.0,0.1551130109079472,0.7718766529900356,0.2281233470099644,3.3835934072820706
2010-01-21,83101.0,62347.0,20754.0,5870.0,258.0,56219.0,9041.0,17.0,11696.0,0.07063693577694613,0.0031046557803155197,0.6765141213703806,0.10879532135594036,0.0002045703421138133,0.14074439537430355,0.7502557129276423,0.24974428707235774,3.004095596029681
2010-01-22,92429.0,67610.0,24819.0,12988.0,35.0,54587.0,8544.0,7.0,16268.0,0.14051866838329963,0.0003786690324465265,0.5905830421188155,0.09243852037780351,7.57338064893053e-05,0.17600536628114552,0.7314803795345617,0.2685196204654383,2.724122647971312
2010-01-25,66277.0,50523.0,15754.0,7886.0,0.0,42637.0,6898.0,0.0,8856.0,0.11898547007257419,0.0,0.6433151772107971,0.10407833788493746,0.0,0.13362101483169123,0.7623006472833713,0.2376993527166287,3.206995048876476
2010-01-27,90316.0,63019.0,27297.0,3080.0,0.0,59939.0,20442.0,0.0,6855.0,0.03410248460959298,0.0,0.6636587094202577,0.22633863324327916,0.0,0.0759001727268701,0.6977611940298507,0.30223880597014924,2.308641975308642
2010-01-28,84684.0,57840.0,26844.0,9931.0,27.0,47882.0,16042.0,30.0,10772.0,0.11727126729960795,0.00031883236502763216,0.5654196778612253,0.18943365925086203,0.0003542581833640357,0.1272023050399131,0.6830097775258609,0.31699022247413916,2.154671434957532
2010-01-29,70406.0,57250.0,13156.0,17643.0,1.0,39606.0,2505.0,0.0,10651.0,0.25058943840013637,1.4203334943044626e-05,0.5625372837542255,0.03557935403232679,0.0,0.15127972047836832,0.8131409254893048,0.1868590745106951,4.35162663423533
2010-02-01,65389.0,50596.0,14793.0,10888.0,61.0,39647.0,4122.0,2.0,10669.0,0.1665111868968787,0.0009328786187279206,0.6063252228968176,0.06303812567863096,3.058618422058756e-05,0.16316199972472434,0.7737692884124241,0.2262307115875759,3.420266342188873
2010-02-02,67285.0,52785.0,14500.0,3492.0,0.0,49293.0,6928.0,0.0,7572.0,0.051898640112952366,0.0,0.7326001337593817,0.10296499962844616,0.0,0.11253622649921974,0.7844987738723341,0.2155012261276659,3.640344827586207
2010-02-03,58435.0,45154.0,13281.0,10104.0,268.0,34782.0,4186.0,40.0,9055.0,0.17291007101908104,0.004586292461709592,0.5952254641909814,0.07163515016685205,0.0006845212629417301,0.15495850089843416,0.772721827671772,0.22727817232822795,3.3998945862510355
2010-02-04,56558.0,44933.0,11625.0,2683.0,41.0,42209.0,4933.0,10.0,6682.0,0.047438028218819615,0.0007249195516107359,0.7462958379009159,0.08722019873404292,0.00017680964673432584,0.11814420594787652,0.7944587856713462,0.20554121432865377,3.865204301075269
2010-02-05,75676.0,57584.0,18092.0,3473.0,0.0,54111.0,8160.0,0.0,9932.0,0.045893017601353135,0.0,0.7150351498493578,0.10782810930810297,0.0,0.1312437232411861,0.7609281674507109,0.23907183254928907,3.1828432456334292
